hEven,pTran
121608,2045.0
121608,2045.0
121608,2044.0
121608,2044.0
121608,2046.0
121603,2044.0
121559,2044.0
121553,2045.0
121553,2045.0
121553,2044.0
121551,2045.0
121551,2045.0
121551,2045.0
121551,2045.0
121551,2045.0
121551,2045.0
121551,2045.0
121551,2045.0
121551,2045.0
121550,2045.0
121549,2045.0
121544,2044.0
121536,2044.0
121536,2045.0
121535,2044.0
121535,2044.0
121535,2044.0
121534,2045.0
121534,2045.0
121533,2045.0
121528,2044.0
121525,2044.0
121523,2044.0
121523,2045.0
121523,2045.0
121523,2045.0
121521,2044.0
121521,2044.0
121521,2044.0
121521,2044.0
121519,2044.0
121518,2045.0
121515,2044.0
121504,2044.0
121458,2045.0
121458,2045.0
121458,2045.0
121458,2045.0
121458,2045.0
121457,2045.0
121457,2045.0
121457,2045.0
121453,2046.0
121447,2045.0
121446,2045.0
121445,2046.0
121445,2046.0
121445,2045.0
121444,2046.0
121444,2046.0
121432,2047.0
121432,2045.0
121429,2046.0
121429,2046.0
121429,2045.0
121429,2045.0
121429,2045.0
121429,2045.0
121429,2047.0
121429,2047.0
121429,2047.0
121417,2046.0
121417,2046.0
121415,2045.0
121414,2045.0
121413,2045.0
121356,2045.0
121356,2045.0
121354,2045.0
121354,2045.0
121354,2045.0
121352,2044.0
121352,2043.0
121352,2043.0
121347,2045.0
121341,2044.0
121339,2044.0
121336,2044.0
121332,2044.0
121331,2045.0
121331,2045.0
121331,2045.0
121331,2045.0
121331,2045.0
121331,2045.0
121331,2045.0
121330,2044.0
121330,2044.0
121330,2044.0
121307,2044.0
121307,2044.0
121302,2044.0
121302,2042.0
121301,2042.0
121301,2042.0
121301,2042.0
121301,2042.0
121301,2042.0
121301,2042.0
121301,2042.0
121301,2042.0
121300,2044.0
121255,2044.0
121252,2043.0
121252,2043.0
121252,2043.0
121252,2043.0
121252,2043.0
121252,2042.0
121252,2042.0
121252,2042.0
121252,2042.0
121252,2042.0
121252,2042.0
121252,2042.0
121251,2044.0
121250,2044.0
121250,2043.0
121250,2043.0
121250,2043.0
121250,2043.0
121250,2043.0
121249,2044.0
121248,2044.0
121248,2044.0
121248,2044.0
121242,2045.0
121237,2045.0
121230,2044.0
121230,2044.0
121222,2044.0
121216,2044.0
121216,2045.0
121211,2044.0
121211,2044.0
121211,2044.0
121211,2044.0
121211,2044.0
121211,2044.0
121211,2044.0
121211,2044.0
121207,2045.0
121202,2044.0
121159,2044.0
121159,2045.0
121158,2044.0
121154,2045.0
121151,2044.0
121151,2044.0
121151,2044.0
121151,2044.0
121145,2045.0
121145,2044.0
121145,2044.0
121145,2044.0
121141,2044.0
121137,2044.0
121133,2044.0
121131,2044.0
121131,2044.0
121131,2044.0
121131,2044.0
121128,2043.0
121122,2044.0
